student_id;origin_country;destination_country;destination_city;university_name;course_name;field_of_study;year_of_enrollment;scholarship_received;enrollment_reason;graduation_year;placement_status;placement_country;placement_company;starting_salary_usd;gpa_or_score;visa_status;post_graduation_visa;language_proficiency_test;test_score
S00041;Finland;India;Tiruchirappalli;NIT Trichy;Architecture;Arts;2021;Yes;Political Stability;2023;Placed;India;McKinsey;138648;277;Schengen Student Visa;Post-Study Visa;PTE;82
S00042;UAE;UK;Birmingham;University of Birmingham;Design;Law;2023;Yes;Scholarship;2025;Not Placed;N/A;N/A;0;36;Study Permit;Blue Card;None;0
S00043;USA;UAE;Dubai;Heriot-Watt Dubai;Mechanical Engineering;Medicine;2020;Yes;Scholarship;2023;Placed;UAE;Facebook;72107;254;Study Permit;PSW;IELTS;61
S00044;Ireland;UAE;Dubai;Middlesex University Dubai;Law;Law;2023;No;Higher Ranking;2025;Placed;UAE;SAP;112487;272;Schengen Student Visa;Blue Card;IELTS;55
S00045;Canada;UAE;Dubai;Manipal Academy Dubai;Civil Engineering;Social Sciences;2021;No;Political Stability;2023;Placed;UAE;Siemens;96903;363;J1;OPT;IELTS;79
S00046;South Africa;USA;San Francisco;Stanford University;Finance;Arts;2019;Yes;Job Opportunities;2021;Not Placed;N/A;N/A;0;308;Study Permit;OPT;None;0
S00047;Ireland;USA;New York;NYU;Design;Arts;2021;Yes;Scholarship;2022;Not Placed;N/A;N/A;0;337;Study Permit;Blue Card;None;0
S00048;UK;India;Delhi;JNU Delhi;Political Science;Natural Sciences;2022;No;Job Opportunities;2025;Not Placed;N/A;N/A;0;26;Study Permit;Work Permit;None;0
S00049;India;Russia;Novosibirsk;Novosibirsk State University;Computer Science;Social Sciences;2019;No;Political Stability;2022;Placed;Russia;Google;129074;274;Study Permit;Post-Study Visa;None;0
S00050;South Africa;UK;London;Imperial College London;Civil Engineering;Law;2019;No;Political Stability;2020;Not Placed;N/A;N/A;0;308;Student Visa;OPT;None;0
S00051;South Africa;India;Chennai;IIT Madras;Electrical Engineering;Social Sciences;2022;Yes;Higher Ranking;2024;Placed;India;SAP;34817;31;F1;Blue Card;TOEFL;53
S00052;South Africa;Finland;Tampere;Tampere University;Civil Engineering;Arts;2020;No;Quality of Life;2021;Not Placed;N/A;N/A;0;393;Schengen Student Visa;Work Permit;TOEFL;61
S00053;South Africa;USA;New York;NYU;Psychology;Engineering;2022;Yes;Quality of Life;2025;Placed;USA;Apple;133553;383;Schengen Student Visa;Blue Card;PTE;79
S00054;UAE;Germany;Berlin;Humboldt University;Medicine;Social Sciences;2019;Yes;Higher Ranking;2022;Not Placed;N/A;N/A;0;311;Student Visa;Blue Card;PTE;74
S00055;India;Finland;Helsinki;University of Helsinki;Finance;Social Sciences;2019;Yes;Scholarship;2021;Not Placed;N/A;N/A;0;332;F1;Work Permit;Duolingo;74
S00056;South Africa;India;Delhi;Delhi University;Biotechnology;Medicine;2022;Yes;Job Opportunities;2025;Placed;India;Intel;83516;363;Tier 4;OPT;TOEFL;55
S00057;South Africa;Finland;Lappeenranta;LUT University;Electrical Engineering;Medicine;2023;Yes;Political Stability;2025;Not Placed;N/A;N/A;0;306;Schengen Student Visa;PSW;TOEFL;75
S00058;Ireland;USA;San Francisco;UC Berkeley;Data Science;Medicine;2023;No;Political Stability;2025;Not Placed;N/A;N/A;0;347;F1;OPT;Duolingo;7
S00059;Russia;Finland;Espoo;Aalto University;Data Science;Computer Science;2020;No;Job Opportunities;2022;Not Placed;N/A;N/A;0;334;Tier 4;Work Permit;Duolingo;61
S00060;Ireland;India;Delhi;JNU Delhi;Economics;Business;2023;No;Scholarship;2026;Placed;India;Google;84161;302;J1;Work Permit;None;0
S00061;South Africa;Canada;London;Western University;Architecture;Engineering;2020;Yes;Political Stability;2022;Not Placed;N/A;N/A;0;287;F1;Blue Card;TOEFL;75
S00062;USA;Russia;Saint Petersburg;Saint Petersburg State University;Data Science;Computer Science;2022;Yes;Political Stability;2023;Placed;Russia;McKinsey;51363;301;Tier 4;PSW;PTE;72
S00063;Russia;UAE;Abu Dhabi;Zayed University;Biotechnology;Law;2023;No;Job Opportunities;2026;Not Placed;N/A;N/A;0;307;Tier 4;OPT;None;0
S00064;Germany;Canada;Toronto;University of Toronto;Civil Engineering;Natural Sciences;2022;Yes;Higher Ranking;2024;Placed;Canada;IBM;34218;271;F1;Post-Study Visa;IELTS;57
S00065;Russia;Germany;Munich;Technical University of Munich;Business Administration;Business;2019;No;Job Opportunities;2020;Placed;Germany;Amazon;107669;271;Schengen Student Visa;Blue Card;PTE;52
S00066;Ireland;UK;London;King's College London;Finance;Arts;2021;Yes;Job Opportunities;2023;Placed;UK;IBM;142540;353;Schengen Student Visa;Work Permit;TOEFL;57
S00067;UK;USA;Boston;MIT;Medicine;Social Sciences;2023;No;Quality of Life;2025;Not Placed;N/A;N/A;0;325;J1;Post-Study Visa;None;0
S00068;India;Canada;Ottawa;University of Ottawa;Business Administration;Social Sciences;2019;No;Political Stability;2020;Placed;Canada;Facebook;127261;324;Study Permit;PSW;TOEFL;64
S00069;USA;South Africa;Stellenbosch;Stellenbosch University;Political Science;Natural Sciences;2020;Yes;Political Stability;2022;Not Placed;N/A;N/A;0;399;F1;PSW;TOEFL;78
S00070;South Africa;UK;Edinburgh;University of Edinburgh;Business Administration;Arts;2021;No;Higher Ranking;2024;Placed;UK;Amazon;55598;311;F1;Post-Study Visa;TOEFL;63
S00071;Russia;Finland;Tampere;Tampere University;Design;Business;2019;No;Political Stability;2022;Placed;Finland;McKinsey;80641;262;Schengen Student Visa;PSW;Duolingo;53
S00072;Ireland;Germany;Heidelberg;Heidelberg University;Law;Engineering;2020;No;Higher Ranking;2022;Placed;Germany;Tesla;120015;353;Student Visa;PSW;TOEFL;55
S00073;South Africa;UK;Cambridge;University of Cambridge;Law;Medicine;2023;No;Political Stability;2024;Placed;UK;Apple;57552;389;Student Visa;Post-Study Visa;TOEFL;68
S00074;Ireland;Finland;Lappeenranta;LUT University;Mechanical Engineering;Computer Science;2023;Yes;Quality of Life;2026;Placed;Finland;Apple;73613;342;F1;OPT;PTE;65
S00075;USA;UAE;Dubai;University of Dubai;Design;Computer Science;2021;Yes;Scholarship;2023;Not Placed;N/A;N/A;0;26;Student Visa;Blue Card;None;0
S00076;Canada;Russia;Kazan;Kazan Federal University;Psychology;Computer Science;2021;No;Quality of Life;2023;Placed;Russia;Goldman Sachs;149425;285;J1;Post-Study Visa;Duolingo;51
S00077;India;Canada;Edmonton;University of Alberta;Architecture;Computer Science;2019;Yes;Higher Ranking;2022;Placed;Canada;Facebook;63935;322;F1;Work Permit;None;0
S00078;Finland;UAE;Dubai;Middlesex University Dubai;Design;Engineering;2023;Yes;Higher Ranking;2025;Not Placed;N/A;N/A;0;318;Tier 4;Blue Card;TOEFL;63
S00079;Canada;UK;Manchester;University of Manchester;Architecture;Computer Science;2022;No;Political Stability;2024;Placed;UK;Google;112160;253;Student Visa;OPT;PTE;73
S00080;UK;Germany;Berlin;TU Berlin;Data Science;Natural Sciences;2021;No;Job Opportunities;2024;Not Placed;N/A;N/A;0;333;Tier 4;PSW;IELTS;72
S00081;Germany;India;Pilani;BITS Pilani;Psychology;Medicine;2023;No;Quality of Life;2026;Placed;India;Tesla;92250;309;J1;OPT;Duolingo;77
S00082;Russia;India;Delhi;JNU Delhi;Biotechnology;Business;2019;No;Job Opportunities;2020;Placed;India;Tesla;106963;261;Student Visa;Blue Card;PTE;6
S00083;Finland;UK;London;Imperial College London;Political Science;Engineering;2023;Yes;Higher Ranking;2026;Not Placed;N/A;N/A;0;265;Schengen Student Visa;PSW;Duolingo;85
S00084;Canada;USA;New York;NYU;Biotechnology;Natural Sciences;2022;No;Job Opportunities;2024;Placed;USA;Tesla;57256;338;Tier 4;PSW;TOEFL;74
S00085;UAE;UK;Edinburgh;University of Edinburgh;Electrical Engineering;Engineering;2019;No;Quality of Life;2021;Placed;UK;Google;83047;397;F1;Work Permit;Duolingo;66
S00086;Ireland;USA;San Francisco;Stanford University;Business Administration;Law;2020;Yes;Job Opportunities;2022;Not Placed;N/A;N/A;0;368;Tier 4;OPT;None;0
S00087;Ireland;USA;Boston;MIT;Business Administration;Law;2021;Yes;Scholarship;2024;Placed;USA;Siemens;63774;356;Student Visa;Post-Study Visa;TOEFL;76
S00088;Russia;USA;San Francisco;UC Berkeley;Political Science;Business;2021;No;Higher Ranking;2023;Not Placed;N/A;N/A;0;371;Schengen Student Visa;Post-Study Visa;PTE;56
S00089;Finland;UAE;Abu Dhabi;Khalifa University;Law;Arts;2020;Yes;Higher Ranking;2023;Not Placed;N/A;N/A;0;277;Tier 4;Blue Card;TOEFL;52
S00090;USA;UK;Cambridge;University of Cambridge;Data Science;Business;2022;No;Political Stability;2023;Not Placed;N/A;N/A;0;282;Schengen Student Visa;PSW;IELTS;64
S00091;Finland;Ireland;Dublin;Technological University Dublin;Architecture;Arts;2022;No;Scholarship;2025;Not Placed;N/A;N/A;0;277;Tier 4;Post-Study Visa;Duolingo;77
S00092;Germany;Russia;Moscow;Moscow Institute of Physics and Technology;Psychology;Medicine;2022;No;Higher Ranking;2023;Placed;Russia;Tesla;134172;322;Student Visa;Work Permit;IELTS;72
S00093;UK;South Africa;Durban;University of KwaZulu-Natal;Design;Engineering;2019;Yes;Political Stability;2021;Not Placed;N/A;N/A;0;362;F1;OPT;IELTS;72
S00094;UAE;South Africa;Johannesburg;University of the Witwatersrand;Economics;Social Sciences;2023;No;Higher Ranking;2026;Not Placed;N/A;N/A;0;324;J1;Work Permit;None;0
S00095;South Africa;Ireland;Maynooth;Maynooth University;Psychology;Law;2020;No;Job Opportunities;2022;Placed;Ireland;Apple;122560;29;J1;PSW;PTE;51
S00096;Finland;USA;Chicago;University of Chicago;Psychology;Arts;2021;No;Higher Ranking;2024;Not Placed;N/A;N/A;0;301;Study Permit;OPT;IELTS;77
S00097;Finland;USA;New York;Columbia University;Computer Science;Medicine;2022;No;Quality of Life;2023;Not Placed;N/A;N/A;0;379;J1;OPT;TOEFL;57
S00098;Russia;India;Pilani;BITS Pilani;Design;Arts;2021;Yes;Scholarship;2024;Not Placed;N/A;N/A;0;344;Tier 4;OPT;PTE;57
S00099;South Africa;Germany;Berlin;TU Berlin;Law;Social Sciences;2022;No;Higher Ranking;2025;Placed;Germany;SAP;59168;391;F1;PSW;None;0
S00100;UK;India;Mumbai;IIT Bombay;Business Administration;Engineering;2023;No;Higher Ranking;2025;Not Placed;N/A;N/A;0;352;Tier 4;OPT;Duolingo;66
S00101;Germany;Finland;Joensuu;University of Eastern Finland;Economics;Natural Sciences;2019;Yes;Job Opportunities;2022;Placed;Finland;IBM;48942;315;F1;Post-Study Visa;None;0
S00102;Finland;UAE;Dubai;University of Dubai;Psychology;Natural Sciences;2020;Yes;Higher Ranking;2021;Placed;UAE;Microsoft;57389;337;Tier 4;Work Permit;IELTS;55
S00103;India;Russia;Moscow;Bauman Moscow State Technical University;Psychology;Law;2019;Yes;Scholarship;2022;Placed;Russia;Goldman Sachs;45866;385;Schengen Student Visa;Post-Study Visa;None;0
S00104;Germany;UK;Cambridge;University of Cambridge;Medicine;Computer Science;2022;No;Quality of Life;2024;Placed;UK;Tesla;56343;279;Schengen Student Visa;OPT;TOEFL;88
S00105;UK;South Africa;Cape Town;University of Cape Town;Political Science;Computer Science;2022;No;Scholarship;2023;Placed;South Africa;Deloitte;131559;329;Tier 4;PSW;PTE;82
S00106;Finland;UK;Oxford;University of Oxford;Political Science;Business;2021;Yes;Political Stability;2024;Placed;UK;Deloitte;140986;3;J1;Post-Study Visa;IELTS;82
S00107;India;USA;Los Angeles;UCLA;Economics;Engineering;2021;No;Higher Ranking;2023;Placed;USA;Goldman Sachs;144597;347;J1;Blue Card;Duolingo;52
S00108;India;Ireland;Dublin;Trinity College Dublin;Civil Engineering;Computer Science;2022;No;Higher Ranking;2024;Placed;Ireland;Deloitte;58807;336;Study Permit;Post-Study Visa;IELTS;55
S00109;India;Finland;Joensuu;University of Eastern Finland;Psychology;Social Sciences;2022;Yes;Political Stability;2024;Not Placed;N/A;N/A;0;375;J1;PSW;PTE;52
S00110;Finland;USA;Chicago;University of Chicago;Medicine;Natural Sciences;2022;No;Higher Ranking;2023;Placed;USA;IBM;107665;288;Student Visa;Work Permit;PTE;54
S00111;Finland;Germany;Stuttgart;University of Stuttgart;Law;Computer Science;2023;Yes;Scholarship;2026;Not Placed;N/A;N/A;0;349;J1;PSW;TOEFL;51
S00112;Finland;South Africa;Durban;University of KwaZulu-Natal;Mechanical Engineering;Arts;2021;No;Higher Ranking;2023;Not Placed;N/A;N/A;0;354;Tier 4;Post-Study Visa;IELTS;53
S00113;South Africa;Ireland;Galway;National University of Ireland Galway;Civil Engineering;Business;2020;No;Political Stability;2021;Placed;Ireland;Deloitte;95555;315;F1;Post-Study Visa;TOEFL;9
S00114;Finland;UK;London;UCL;Data Science;Business;2020;No;Quality of Life;2022;Placed;UK;Deloitte;62747;303;F1;Blue Card;PTE;73
S00115;Finland;USA;San Francisco;UC Berkeley;Design;Medicine;2021;No;Quality of Life;2022;Not Placed;N/A;N/A;0;304;F1;Blue Card;PTE;79
S00116;USA;Russia;Novosibirsk;Novosibirsk State University;Design;Law;2022;Yes;Job Opportunities;2023;Placed;Russia;McKinsey;98698;381;F1;Blue Card;TOEFL;65
S00117;South Africa;Russia;Moscow;Higher School of Economics;Psychology;Arts;2023;No;Job Opportunities;2025;Placed;Russia;Amazon;119341;293;Study Permit;Blue Card;Duolingo;61
S00118;USA;UAE;Dubai;University of Dubai;Law;Social Sciences;2023;Yes;Political Stability;2025;Not Placed;N/A;N/A;0;395;F1;PSW;None;0
S00119;Finland;UK;Birmingham;University of Birmingham;Law;Engineering;2023;No;Job Opportunities;2026;Placed;UK;Deloitte;118240;308;J1;Post-Study Visa;None;0
S00120;Canada;Russia;Kazan;Kazan Federal University;Law;Business;2023;Yes;Job Opportunities;2025;Not Placed;N/A;N/A;0;321;J1;Work Permit;PTE;82
S00121;South Africa;USA;New York;NYU;Economics;Medicine;2022;No;Higher Ranking;2023;Placed;USA;SAP;118440;351;Tier 4;OPT;IELTS;52
S00122;Ireland;Russia;Moscow;Moscow Institute of Physics and Technology;Business Administration;Medicine;2021;Yes;Quality of Life;2022;Placed;Russia;Google;72279;324;Tier 4;PSW;None;0
S00123;Germany;UAE;Dubai;University of Dubai;Design;Social Sciences;2022;Yes;Quality of Life;2025;Not Placed;N/A;N/A;0;371;Tier 4;Post-Study Visa;IELTS;8
S00124;South Africa;Russia;Moscow;Higher School of Economics;Data Science;Social Sciences;2022;No;Scholarship;2024;Placed;Russia;Microsoft;78980;393;Schengen Student Visa;Work Permit;PTE;87
S00125;Finland;Ireland;Cork;University College Cork;Electrical Engineering;Engineering;2022;Yes;Scholarship;2024;Placed;Ireland;Tesla;145270;288;J1;Work Permit;TOEFL;72
S00126;UAE;South Africa;Stellenbosch;Stellenbosch University;Architecture;Business;2019;No;Job Opportunities;2021;Placed;South Africa;Deloitte;49023;305;Study Permit;Work Permit;None;0
S00127;Germany;India;Tiruchirappalli;NIT Trichy;Design;Social Sciences;2021;No;Higher Ranking;2022;Not Placed;N/A;N/A;0;27;F1;Post-Study Visa;TOEFL;82
S00128;UAE;India;Delhi;Delhi University;Architecture;Business;2019;No;Scholarship;2020;Not Placed;N/A;N/A;0;348;Student Visa;Post-Study Visa;TOEFL;64
S00129;USA;UAE;Dubai;Middlesex University Dubai;Electrical Engineering;Arts;2021;Yes;Job Opportunities;2023;Placed;UAE;Apple;35945;285;J1;Post-Study Visa;TOEFL;59
S00130;Ireland;UK;London;Imperial College London;Mechanical Engineering;Medicine;2021;Yes;Job Opportunities;2024;Placed;UK;Microsoft;84436;376;Study Permit;Work Permit;Duolingo;79
S00131;Ireland;USA;New York;NYU;Civil Engineering;Business;2023;No;Quality of Life;2024;Placed;USA;SAP;106776;288;Student Visa;Blue Card;PTE;83
S00132;India;Germany;Heidelberg;Heidelberg University;Data Science;Business;2023;Yes;Higher Ranking;2024;Not Placed;N/A;N/A;0;275;F1;Blue Card;Duolingo;85
S00133;Ireland;USA;Boston;Harvard University;Architecture;Computer Science;2022;Yes;Job Opportunities;2025;Placed;USA;Deloitte;103698;263;J1;OPT;IELTS;71
S00134;India;UK;Birmingham;University of Birmingham;Law;Computer Science;2021;Yes;Political Stability;2022;Placed;UK;McKinsey;111966;286;Schengen Student Visa;Blue Card;None;0
S00135;Ireland;Germany;Munich;LMU Munich;Civil Engineering;Business;2023;Yes;Scholarship;2024;Not Placed;N/A;N/A;0;333;Student Visa;PSW;None;0
S00136;USA;Canada;Montreal;McGill University;Data Science;Medicine;2022;Yes;Higher Ranking;2025;Placed;Canada;Google;114986;267;Tier 4;PSW;None;0
S00137;Finland;India;Mumbai;IIT Bombay;Civil Engineering;Natural Sciences;2021;Yes;Political Stability;2022;Placed;India;SAP;86902;297;Study Permit;Post-Study Visa;Duolingo;77
S00138;Ireland;Russia;Kazan;Kazan Federal University;Architecture;Arts;2019;No;Political Stability;2020;Placed;Russia;SAP;109316;31;Student Visa;PSW;PTE;75
S00139;India;UAE;Dubai;University of Dubai;Law;Medicine;2020;No;Scholarship;2021;Placed;UAE;IBM;117772;255;Tier 4;Post-Study Visa;TOEFL;57
S00140;USA;India;Chennai;IIT Madras;Political Science;Social Sciences;2020;Yes;Quality of Life;2021;Not Placed;N/A;N/A;0;386;Tier 4;Blue Card;TOEFL;74
S00141;Ireland;UAE;Dubai;Heriot-Watt Dubai;Political Science;Social Sciences;2019;Yes;Job Opportunities;2022;Placed;UAE;Amazon;136531;363;Schengen Student Visa;Post-Study Visa;IELTS;59
S00142;Canada;India;Delhi;JNU Delhi;Civil Engineering;Business;2022;Yes;Quality of Life;2024;Placed;India;Tesla;60042;255;F1;PSW;TOEFL;84
S00143;USA;India;Tiruchirappalli;NIT Trichy;Architecture;Law;2022;Yes;Scholarship;2023;Placed;India;Apple;110655;283;J1;Blue Card;None;0
S00144;Russia;UAE;Dubai;University of Dubai;Political Science;Social Sciences;2019;No;Job Opportunities;2021;Placed;UAE;IBM;44783;372;J1;PSW;IELTS;78
S00145;UK;India;Tiruchirappalli;NIT Trichy;Mechanical Engineering;Business;2023;Yes;Higher Ranking;2025;Placed;India;Intel;91543;307;F1;Work Permit;Duolingo;62
S00146;Canada;UAE;Abu Dhabi;Zayed University;Architecture;Law;2020;No;Political Stability;2023;Not Placed;N/A;N/A;0;255;F1;OPT;Duolingo;89
S00147;Russia;UAE;Sharjah;American University of Sharjah;Design;Medicine;2020;Yes;Political Stability;2021;Not Placed;N/A;N/A;0;278;Tier 4;Post-Study Visa;TOEFL;54
S00148;Russia;Ireland;Maynooth;Maynooth University;Political Science;Law;2022;Yes;Quality of Life;2025;Placed;Ireland;Goldman Sachs;31249;257;F1;Post-Study Visa;IELTS;86
S00149;Germany;Canada;Vancouver;Simon Fraser University;Architecture;Social Sciences;2021;No;Political Stability;2023;Not Placed;N/A;N/A;0;291;Tier 4;PSW;Duolingo;84
S00150;Germany;South Africa;Stellenbosch;Stellenbosch University;Architecture;Computer Science;2020;Yes;Job Opportunities;2023;Not Placed;N/A;N/A;0;294;J1;Work Permit;Duolingo;67
S00151;Finland;USA;San Francisco;Stanford University;Mechanical Engineering;Arts;2023;Yes;Job Opportunities;2026;Not Placed;N/A;N/A;0;391;J1;Work Permit;TOEFL;79
S00152;Canada;UAE;Dubai;Manipal Academy Dubai;Design;Medicine;2023;Yes;Higher Ranking;2024;Placed;UAE;Amazon;123153;362;Schengen Student Visa;Blue Card;TOEFL;78
S00153;UK;South Africa;Pretoria;University of Pretoria;Law;Computer Science;2021;No;Quality of Life;2024;Placed;South Africa;Microsoft;54951;254;Student Visa;PSW;None;0
S00154;Canada;UK;Birmingham;University of Birmingham;Economics;Law;2022;No;Job Opportunities;2023;Not Placed;N/A;N/A;0;318;Student Visa;Work Permit;PTE;63
S00155;Germany;UAE;Sharjah;American University of Sharjah;Psychology;Arts;2020;No;Quality of Life;2021;Not Placed;N/A;N/A;0;318;F1;Work Permit;IELTS;85
S00156;Germany;UK;London;UCL;Civil Engineering;Social Sciences;2019;No;Higher Ranking;2020;Not Placed;N/A;N/A;0;298;Study Permit;Post-Study Visa;None;0
S00157;UAE;UK;Oxford;University of Oxford;Law;Natural Sciences;2023;Yes;Higher Ranking;2024;Not Placed;N/A;N/A;0;348;Tier 4;OPT;TOEFL;53
S00158;UK;USA;New York;Columbia University;Economics;Law;2021;Yes;Quality of Life;2022;Not Placed;N/A;N/A;0;306;Tier 4;PSW;TOEFL;66
